236,670000000000
258,100000000000
241,520000000000
190,710000000000
200,320000000000
223,410000000000
201,380000000000
211,830000000000
224,410000000000
211,570000000000
194,770000000000
201,860000000000
225,000000000000
278,900000000000
259,740000000000
230,450000000000
238,260000000000
250,140000000000
263,810000000000
247,220000000000
229,810000000000
224,270000000000
213,230000000000
239,570000000000
249,700000000000
212,500000000000
203,270000000000
192,050000000000
190,040000000000
202,050000000000
211,910000000000
210,390000000000
231,250000000000
224,300000000000
209,640000000000
206,050000000000
229,700000000000
264,670000000000
246,290000000000
260,910000000000
265,140000000000
284,520000000000
287,480000000000
321,900000000000
321,590000000000
282,390000000000
241,000000000000
228,480000000000
261,590000000000
270,000000000000
262,860000000000
277,410000000000
288,000000000000
287,140000000000
337,650000000000
328,380000000000
374,410000000000
344,770000000000
361,050000000000
374,220000000000
338,666666666667
332,350000000000
332,608695652174
313,590909090909
286,142857142857
262,363636363636
259,181818181818
315,090909090909
337,181818181818
339,857142857143
331,681818181818
352,130434782609
368,095238095238
349,750000000000
330,652173913043
325,333333333333
327,681818181818
334,045454545455
356,142857142857
358,173913043478
362,272727272727
357,142857142857
351,272727272727
333,363636363636
337,272727272727
341,000000000000
341,000000000000
341,000000000000
341,000000000000
341,000000000000
345,588000000000
353,177159420290
358,231866666667
368,161391304348
368,114666666667
351,435682539683
338,865043478261
320,903733333334
297,395301587302
266,310666666667
272,365101449276
254,022266666667
256,155246376812
248,041333333333
230,494349206349
221,719188405797
235,257523809524
245,685333333333
248,999188405797
256,977600000000
237,725714285714
223,406666666667
219,521333333333
223,696000000000
232,393971014493
235,777142857143
232,954666666667
256,194782608696
243,337600000000
243,305971014493
269,617333333333
296,351733333334
307,561333333334
290,738666666667
313,806603174603
355,880000000000
403,032347826087
387,332698412699
371,214666666667
391,840000000000
353,773968253968
343,490782608696
319,825523809524
287,262730158730
263,706666666667
237,985523809524
247,256000000000
268,914666666667
280,117968253968
275,923362318841
297,972000000000
304,929777777778
328,600000000001
336,660000000000
368,734666666667
382,874800000000
356,102840579710
362,096533333333
371,482434782609
381,217333333334
371,397714285714
362,665855072464
361,524952380953
362,410666666667
344,997575757576
320,912157778643
326,442364648738
346,513623978202
331,269754768393
312,418061502530
293,283734154721
286,849098222395
285,724300222938
273,301504561071
287,130790190736
284,103779173084
278,236809512014
273,847930452835
270,769103186826
279,395095367848
268,820812248605
260,324746098588
273,578485961379
252,229155313352
242,200450183628
257,801337626951
276,231477877255
285,923942660822
277,444920202414
274,596482536537
280,542589740552
267,245504087194
260,117909338618
257,263562051028
246,285454781368
229,795640326976
234,603246060893
247,758920461918
266,198910081744
253,995541243498
255,689632801350
247,700509418316
249,059037238874
266,289918256131
254,902025826324
239,682437453555
244,248605164137
228,016844191231
225,410701015606
257,925439682933
292,674015357939
315,928376800311
315,674263066634
316,629309323540
312,374724276632
314,069209809264
282,441890771236
270,640975736344
263,468664850136
265,288828337875
264,487089658752
262,222248548751
268,763685905376
275,061372777994
283,283626455289
273,272727272728
264,916522169928
264,469754768392
278,801563795759
264,196730245232
260,837341547210
264,999256873916
273,241209290255
307,449354341903
326,762683274945
324,113202873421
335,571959375774
317,228493577267
315,125696007582
340,890618917867
364,986116517452
336,523408471638
295,855704300439
293,910899182562
300,603956877147
323,451325241516
346,784481640067
328,539509536785
352,461658232775
337,143918751548
342,665560952494
332,816893732970
320,825483326846
315,881099826604
318,942283874164
305,960814843648
